fight_id,event_date,weight_class,outcome,fighter_a_name,fighter_b_name,fighter_a_age,fighter_a_height,fighter_a_reach,fighter_a_weight,fighter_a_total_fights,fighter_a_win_percentage,fighter_a_recent_wins,fighter_a_win_streak,fighter_a_sig_strikes_landed_per_min,fighter_a_sig_strikes_absorbed_per_min,fighter_a_sig_strike_accuracy,fighter_a_sig_strike_defense,fighter_a_takedowns_landed_per_fight,fighter_a_takedown_attempts_per_fight,fighter_a_takedown_defense,fighter_a_submission_attempts_per_fight,fighter_a_ko_tko_win_rate,fighter_a_control_time_per_fight,fighter_b_age,fighter_b_height,fighter_b_reach,fighter_b_weight,fighter_b_total_fights,fighter_b_win_percentage,fighter_b_recent_wins,fighter_b_win_streak,fighter_b_sig_strikes_landed_per_min,fighter_b_sig_strikes_absorbed_per_min,fighter_b_sig_strike_accuracy,fighter_b_sig_strike_defense,fighter_b_takedowns_landed_per_fight,fighter_b_takedown_attempts_per_fight,fighter_b_takedown_defense,fighter_b_submission_attempts_per_fight,fighter_b_ko_tko_win_rate,fighter_b_control_time_per_fight,sig_strikes_landed_diff,sig_strike_accuracy_diff,takedowns_landed_diff,takedown_defense_diff,reach_diff,age_diff
edf7ce89ad672e85,"December 14, 2024",Women's Strawweight,0,Josefine Knutsson,Piera Rodriguez,29.3,63.0,60.0,115.0,9,88.88888889,4,0,4.24,2.13,51,54,1.6,2.222222222,35,0.0,0.0,5.133333333,32.5,63.0,63.0,115.0,12,83.33333333,4,1,3.4,2.63,48,57,4.06,7.960784314,66,0.0,0.0,41.6,0.84,3,-2.46,-31,-3.0,-3.2
e761c5009c09b295,"December 07, 2024",Flyweight,1,Alexandre Pantoja,Kai Asakura,35.1,65.0,67.0,125.0,34,85.29411765,8,0,4.41,3.92,50,50,2.74,5.829787234,68,0.9,6.896551724,23.43529412,31.5,68.0,69.0,125.0,26,80.76923077,0,0,2.4,4.52,58,38,0.0,0.0,57,0.0,0.0,3.388235294,2.01,-8,2.74,11,-2.0,3.6
1569186ee820ea87,"December 07, 2024",Welterweight,1,Shavkat Rakhmonov,Ian Machado Garry,30.5,73.0,77.0,170.0,19,100.0,7,7,3.25,2.17,60,51,1.4,5.6,85,1.2,5.263157895,28.04,27.5,75.0,74.0,170.0,17,94.11764706,9,1,4.77,2.77,54,51,1.02,3.090909091,73,0.4,18.75,6.08,-1.52,6,0.38,12,3.0,3.0
f706508c52f337a6,"December 07, 2024",Heavyweight,1,Ciryl Gane,Alexander Volkov,35.1,76.0,81.0,245.0,15,86.66666667,8,2,5.26,2.23,61,61,0.7,2.8,43,0.6,30.76923077,14.66666667,36.5,79.0,80.0,250.0,49,77.55102041,7,0,4.97,2.99,57,54,0.61,0.924242424,72,0.2,18.42105263,18.13333333,0.29,4,0.09,-29,1.0,-1.4
0292b9c31c0089ac,"December 07, 2024",Featherweight,1,Bryce Mitchell,Kron Gracie,30.6,70.0,70.0,145.0,21,80.95238095,7,0,2.44,1.64,59,60,3.27,9.083333333,33,1.3,11.76470588,48.16901408,36.8,69.0,70.0,145.0,8,62.5,1,0,2.95,5.73,42,51,0.35,1.4,0,0.7,20.0,0.187793427,-0.51,17,2.92,33,0.0,-6.2
089388c9f00ce9c6,"December 07, 2024",Featherweight,0,Nate Landwehr,Dooho Choi,36.9,69.0,72.0,145.0,24,75.0,5,0,5.59,5.77,46,52,0.85,2.073170732,74,0.8,22.22222222,3.146067416,34.1,70.0,70.0,145.0,21,76.19047619,5,2,4.67,4.02,56,56,1.43,2.698113208,47,0.6,43.75,32.43445693,0.92,-10,-0.58,27,2.0,2.8
97caf8fca9d9603b,"December 07, 2024",Light Heavyweight,1,Dominick Reyes,Anthony Smith,35.4,76.0,77.0,205.0,19,78.94736842,6,3,5.58,3.54,54,50,0.31,1.107142857,82,0.3,60.0,23.65187713,36.8,76.0,76.0,205.0,60,63.33333333,4,0,3.19,5.04,49,44,0.44,2.0,50,0.6,36.84210526,0.102389078,2.39,5,-0.13,32,1.0,-1.4
4914f7bd073c6359,"December 07, 2024",Welterweight,1,Vicente Luque,Themba Gorimbo,33.5,71.0,75.0,170.0,34,67.64705882,6,0,5.05,5.22,51,52,0.99,1.867924528,62,0.7,43.47826087,16.15384615,34.3,73.0,77.0,170.0,19,73.68421053,4,0,3.15,1.09,61,56,4.81,7.4,82,0.6,7.142857143,0.0,1.9,-10,-3.82,-20,-2.0,-0.8
df30514e0674d598,"December 07, 2024",Featherweight,1,Movsar Evloev,Aljamain Sterling,31.2,67.0,72.0,145.0,19,100.0,9,9,3.99,2.66,48,60,4.67,9.729166667,61,0.2,0.0,24.6,35.8,67.0,71.0,145.0,29,82.75862069,8,0,4.41,2.21,52,58,2.51,8.655172414,42,0.7,16.66666667,25.06666667,-0.42,-4,2.16,19,1.0,-4.6
7c0d0a28a8fba102,"December 07, 2024",Welterweight,0,Randy Brown,Bryan Battle,34.8,75.0,78.0,170.0,26,76.92307692,8,1,4.47,3.26,47,54,0.79,2.025641026,73,0.6,30.0,7.066666667,30.6,73.0,77.0,170.0,15,86.66666667,7,2,5.12,4.11,52,44,0.77,4.529411765,53,0.4,23.07692308,29.66666667,-0.65,-5,0.02,20,1.0,4.2
0f16d83859d608c7,"December 07, 2024",Catch Weight,0,Chris Weidman,Eryk Anders,40.9,74.0,78.0,185.0,24,66.66666667,3,0,3.11,3.37,45,51,3.27,7.785714286,72,0.8,68.75,13.70558376,38.1,73.0,75.0,185.0,25,68.0,5,2,3.54,4.05,48,50,1.71,7.125,80,0.1,35.29411765,26.80203046,-0.43,-3,1.56,-8,3.0,2.8
